Gene,AB521M,AB551,AB555,AB559,AB580,AB630,HCI001,HCI002,HCI004,HCI005,HCI006,HCI008,HCI009,HCI010,HCI011,HCI014,IC006,IC007,STG139,STG139M,STG143,STG195,STG201,STG282,STG316,STG335,VHIO006,VHIO039,VHIO089,VHIO093,VHIO094,VHIO098,VHIO102,VHIO124,VHIO131,VHIO161,VHIO169,VHIO179,VHIO244
PIK3C3,0.22903885480572597,0.30879345603271985,0.278118609406953,0.18813905930470348,0.2668711656441718,0.32004089979550104,0.1329243353783231,0.20449897750511248,0.20245398773006135,0.13496932515337423,0.1901840490797546,0.20449897750511248,0.2668711656441718,0.15848670756646216,0.16666666666666666,0.2607361963190184,0.2065439672801636,0.2607361963190184,0.2556237218813906,0.32413087934560325,0.2832310838445808,0.2505112474437628,0.2198364008179959,0.19427402862985685,0.17177914110429449,0.16973415132924335,0.1656441717791411,0.25971370143149286,0.18200408997955012,0.294478527607362,0.2556237218813906,0.15644171779141106,0.33026584867075665,0.20040899795501022,0.26380368098159507,0.17075664621676892,0.2065439672801636,0.11247443762781185,0.30265848670756645
CEBPZ,0.8537832310838446,0.7903885480572597,0.7443762781186094,0.7995910020449898,0.7106339468302658,0.8445807770961146,0.7638036809815951,0.7310838445807771,0.7903885480572597,0.7167689161554193,0.7914110429447853,0.7004089979550102,0.6840490797546013,0.8149284253578732,0.7730061349693251,0.8271983640081799,0.7443762781186094,0.7668711656441718,0.7065439672801636,0.7229038854805726,0.7341513292433538,0.7177914110429447,0.7883435582822086,0.8292433537832311,0.803680981595092,0.8210633946830266,0.6728016359918201,0.7955010224948875,0.7638036809815951,0.8251533742331288,0.7699386503067485,0.6983640081799591,0.8619631901840491,0.8282208588957055,0.7392638036809815,0.8067484662576687,0.7556237218813906,0.7290388548057259,0.8179959100204499
IFNAR1,0.20449897750511248,0.25869120654396727,0.44683026584867075,0.11349693251533742,0.20756646216768918,0.2065439672801636,0.2034764826175869,0.24539877300613497,0.3558282208588957,0.2392638036809816,0.2147239263803681,0.3231083844580777,0.3067484662576687,0.2658486707566462,0.3609406952965235,0.254601226993865,0.12576687116564417,0.27505112474437626,0.21063394683026584,0.21267893660531698,0.2556237218813906,0.27096114519427406,0.2116564417177914,0.29243353783231085,0.310838445807771,0.38139059304703476,0.4488752556237219,0.2852760736196319,0.18916155419222905,0.33844580777096117,0.2310838445807771,0.3312883435582822,0.27505112474437626,0.14519427402862986,0.40388548057259716,0.2392638036809816,0.41513292433537835,0.2034764826175869,0.15030674846625766
CORO1A,0.03374233128834356,0.05521472392638037,0.25153374233128833,0.06748466257668712,0.02965235173824131,0.17791411042944785,0.05725971370143149,0.06441717791411043,0.1554192229038855,0.06748466257668712,0.10429447852760736,0.04703476482617587,0.21881390593047034,0.11758691206543967,0.3496932515337423,0.16257668711656442,0.04396728016359918,0.10122699386503067,0.1523517382413088,0.10429447852760736,0.1329243353783231,0.081799591002045,0.22085889570552147,0.2955010224948875,0.20756646216768918,0.0869120654396728,0.028629856850715747,0.0869120654396728,0.041922290388548056,0.0950920245398773,0.15848670756646216,0.1687116564417178,0.14519427402862986,0.06441717791411043,0.16973415132924335,0.28118609406952966,0.07566462167689161,0.08895705521472393,0.1278118609406953
GNA11,0.4171779141104294,0.4539877300613497,0.49897750511247446,0.3445807770961145,0.5521472392638037,0.558282208588957,0.532719836400818,0.418200408997955,0.47955010224948874,0.5378323108384458,0.35991820040899797,0.614519427402863,0.4897750511247444,0.38752556237218816,0.6789366053169734,0.5,0.598159509202454,0.49591002044989774,0.4212678936605317,0.4130879345603272,0.4222903885480573,0.5040899795501023,0.5081799591002045,0.45296523517382414,0.656441717791411,0.4100204498977505,0.5838445807770961,0.6267893660531697,0.7167689161554193,0.40286298568507156,0.5613496932515337,0.5224948875255624,0.40899795501022496,0.37321063394683024,0.5879345603271984,0.5224948875255624,0.6278118609406953,0.6073619631901841,0.40286298568507156
KLHL9,0.8179959100204499,0.45296523517382414,0.6860940695296524,0.7290388548057259,0.5920245398773006,0.5603271983640081,0.754601226993865,0.614519427402863,0.7116564417177914,0.6574642126789366,0.556237218813906,0.5511247443762781,0.6513292433537833,0.5787321063394683,0.5214723926380368,0.7116564417177914,0.5480572597137015,0.40286298568507156,0.7413087934560327,0.5715746421267893,0.7065439672801636,0.5746421267893661,0.3824130879345603,0.7689161554192229,0.7310838445807771,0.7188139059304703,0.6339468302658486,0.39161554192229037,0.5695296523517382,0.7341513292433538,0.5695296523517382,0.7770961145194274,0.6421267893660532,0.6779141104294478,0.6758691206543967,0.5531697341513292,0.4550102249488753,0.3670756646216769,0.5255623721881391
PTPN1,0.614519427402863,0.66359918200409,0.6656441717791411,0.66359918200409,0.7668711656441718,0.7586912065439673,0.3967280163599182,0.5460122699386503,0.6942740286298569,0.7903885480572597,0.7607361963190185,0.7239263803680982,0.6738241308793456,0.5470347648261759,0.7464212678936605,0.5899795501022495,0.8149284253578732,0.8445807770961146,0.6073619631901841,0.6503067484662577,0.7290388548057259,0.7351738241308794,0.6513292433537833,0.5746421267893661,0.6820040899795501,0.7208588957055214,0.918200408997955,0.8701431492842536,0.5715746421267893,0.5828220858895705,0.6697341513292433,0.6993865030674846,0.5787321063394683,0.6738241308793456,0.885480572597137,0.7177914110429447,0.5674846625766872,0.49591002044989774,0.852760736196319
PIK3CA,0.17995910020449898,0.16257668711656442,0.28629856850715746,0.22699386503067484,0.29243353783231085,0.2689161554192229,0.13394683026584867,0.10940695296523517,0.2065439672801636,0.0869120654396728,0.2229038854805726,0.1492842535787321,0.10633946830265849,0.07464212678936605,0.1114519427402863,0.2085889570552147,0.21779141104294478,0.1441717791411043,0.12167689161554192,0.10940695296523517,0.09918200408997956,0.16155419222903886,0.13496932515337423,0.08282208588957055,0.1492842535787321,0.21574642126789367,0.09304703476482618,0.17075664621676892,0.15848670756646216,0.17791411042944785,0.11554192229038855,0.09304703476482618,0.34151329243353784,0.17177914110429449,0.2331288343558282,0.15337423312883436,0.147239263803681,0.08793456032719836,0.3006134969325153
PNKP,0.44683026584867075,0.6431492842535788,0.47443762781186094,0.4325153374233129,0.41922290388548056,0.556237218813906,0.7014314928425358,0.6124744376278118,0.4212678936605317,0.7484662576687117,0.6186094069529653,0.7034764826175869,0.7055214723926381,0.7842535787321063,0.5449897750511248,0.614519427402863,0.4069529652351738,0.6533742331288344,0.5603271983640081,0.5337423312883436,0.7402862985685071,0.6666666666666666,0.6595092024539877,0.6002044989775052,0.46932515337423314,0.5429447852760736,0.5644171779141104,0.6666666666666666,0.7719836400817995,0.46319018404907975,0.48057259713701433,0.4069529652351738,0.5306748466257669,0.4233128834355828,0.5276073619631901,0.6952965235173824,0.48773006134969327,0.5838445807770961,0.35276073619631904
MAT2A,0.885480572597137,0.8507157464212679,0.8813905930470347,0.8844580777096115,0.9038854805725971,0.869120654396728,0.8987730061349694,0.9059304703476483,0.8578732106339468,0.9079754601226994,0.8548057259713702,0.9059304703476483,0.8946830265848671,0.8844580777096115,0.8977505112474438,0.8967280163599182,0.8875255623721882,0.9120654396728016,0.8813905930470347,0.8875255623721882,0.9008179959100204,0.8660531697341514,0.8752556237218814,0.8967280163599182,0.9059304703476483,0.9151329243353783,0.9038854805725971,0.8916155419222904,0.8957055214723927,0.8834355828220859,0.8752556237218814,0.8977505112474438,0.901840490797546,0.8834355828220859,0.901840490797546,0.901840490797546,0.8824130879345603,0.8885480572597138,0.8670756646216768
