,ACH-000147,ACH-000624,ACH-000028,ACH-000277,ACH-000117,ACH-000097,ACH-000212,ACH-000856,ACH-000849,ACH-000768,ACH-000783,ACH-000573,ACH-000643,ACH-000352,ACH-000276,ACH-000019,ACH-000223,ACH-000374,ACH-000288,ACH-000711,ACH-000927,ACH-000759,ACH-000721,ACH-000934,ACH-000330,ACH-000859,ACH-000699
EIF4G1,0.9038854805725971,0.8957055214723927,0.8875255623721882,0.8905930470347648,0.8905930470347648,0.7995910020449898,0.8803680981595092,0.8895705521472392,0.8732106339468303,0.8997955010224948,0.9028629856850716,0.8650306748466258,0.8670756646216768,0.9079754601226994,0.8946830265848671,0.8844580777096115,0.9008179959100204,0.8946830265848671,0.885480572597137,0.8967280163599182,0.901840490797546,0.8834355828220859,0.9069529652351738,0.8997955010224948,0.9038854805725971,0.9069529652351738,0.8558282208588958
ZFP36,0.3047034764826176,0.6186094069529653,0.5644171779141104,0.8793456032719836,0.7597137014314929,0.8680981595092024,0.4284253578732106,0.09611451942740286,0.41513292433537835,0.49079754601226994,0.38548057259713703,0.15439672801635992,0.48568507157464214,0.5828220858895705,0.4734151329243354,0.4386503067484663,0.5705521472392638,0.33026584867075665,0.24948875255623723,0.6973415132924335,0.3619631901840491,0.6411042944785276,0.05112474437627812,0.3783231083844581,0.45807770961145194,0.5439672801635992,0.18916155419222905
EXT1,0.2249488752556237,0.5531697341513292,0.14621676891615543,0.2034764826175869,0.5664621676891616,0.1278118609406953,0.6912065439672802,0.5194274028629857,0.39161554192229037,0.8057259713701431,0.147239263803681,0.7760736196319018,0.820040899795501,0.44069529652351735,0.3179959100204499,0.18507157464212678,0.6881390593047034,0.6860940695296524,0.7607361963190185,0.3895705521472393,0.22085889570552147,0.23415132924335377,0.32004089979550104,0.450920245398773,0.1441717791411043,0.8629856850715747,0.7811860940695297
RAB21,0.49693251533742333,0.28629856850715746,0.5030674846625767,0.434560327198364,0.32413087934560325,0.6605316973415133,0.36298568507157464,0.33026584867075665,0.2832310838445808,0.43149284253578735,0.4325153374233129,0.5848670756646217,0.2719836400817996,0.6595092024539877,0.4427402862985685,0.5756646216768916,0.35685071574642124,0.7065439672801636,0.310838445807771,0.29243353783231085,0.5030674846625767,0.4059304703476483,0.4161554192229039,0.5051124744376279,0.5388548057259713,0.38752556237218816,0.38139059304703476
TIMM17B,0.8701431492842536,0.7208588957055214,0.7852760736196319,0.7433537832310838,0.8353783231083844,0.8026584867075665,0.7198364008179959,0.7699386503067485,0.6922290388548057,0.7730061349693251,0.7811860940695297,0.7229038854805726,0.6349693251533742,0.8179959100204499,0.43149284253578735,0.7638036809815951,0.6319018404907976,0.3374233128834356,0.6104294478527608,0.8098159509202454,0.820040899795501,0.8282208588957055,0.7096114519427403,0.8323108384458078,0.8292433537832311,0.6850715746421268,0.6451942740286298
HK1,0.8220858895705522,0.6779141104294478,0.8220858895705522,0.8149284253578732,0.8190184049079755,0.6257668711656442,0.7280163599182005,0.33844580777096117,0.754601226993865,0.7801635991820041,0.810838445807771,0.8905930470347648,0.5357873210633947,0.8752556237218814,0.6094069529652352,0.7474437627811861,0.516359918200409,0.4703476482617587,0.7290388548057259,0.6574642126789366,0.8323108384458078,0.8333333333333334,0.6901840490797546,0.7995910020449898,0.7995910020449898,0.7044989775051125,0.721881390593047
FPGS,0.5593047034764826,0.5439672801635992,0.6165644171779141,0.43047034764826175,0.48568507157464214,0.6441717791411042,0.4611451942740286,0.4621676891615542,0.5306748466257669,0.623721881390593,0.4498977505112474,0.7065439672801636,0.6278118609406953,0.4867075664621677,0.5593047034764826,0.5572597137014315,0.6584867075664622,0.3834355828220859,0.44785276073619634,0.6370143149284253,0.4775051124744376,0.6073619631901841,0.7085889570552147,0.614519427402863,0.4662576687116564,0.7341513292433538,0.5552147239263804
ITGAE,0.6298568507157464,0.679959100204499,0.6186094069529653,0.5521472392638037,0.45807770961145194,0.6451942740286298,0.6186094069529653,0.6370143149284253,0.5848670756646217,0.6738241308793456,0.4887525562372188,0.434560327198364,0.4652351738241309,0.42024539877300615,0.5449897750511248,0.6676891615541922,0.5593047034764826,0.4263803680981595,0.7085889570552147,0.5132924335378323,0.5807770961145194,0.35276073619631904,0.5184049079754601,0.6186094069529653,0.5715746421267893,0.5388548057259713,0.549079754601227
PIK3C3,0.22085889570552147,0.3721881390593047,0.14519427402862986,0.32719836400818,0.21267893660531698,0.50920245398773,0.44785276073619634,0.34049079754601225,0.2034764826175869,0.4570552147239264,0.2034764826175869,0.33537832310838445,0.24846625766871167,0.1492842535787321,0.41922290388548056,0.1359918200408998,0.0869120654396728,0.25357873210633947,0.46830265848670755,0.17075664621676892,0.3496932515337423,0.16257668711656442,0.4723926380368098,0.1983640081799591,0.22699386503067484,0.1738241308793456,0.4734151329243354
CEBPZ,0.40286298568507156,0.7085889570552147,0.4386503067484663,0.4754601226993865,0.5725971370143149,0.6717791411042945,0.4560327198364008,0.5122699386503068,0.6186094069529653,0.48261758691206547,0.49897750511247446,0.6768916155419223,0.4621676891615542,0.5061349693251533,0.40081799591002043,0.483640081799591,0.5378323108384458,0.41513292433537835,0.43149284253578735,0.43047034764826175,0.4703476482617587,0.27096114519427406,0.5541922290388548,0.5122699386503068,0.4294478527607362,0.5398773006134969,0.42433537832310836
