,ACH-000147,ACH-000624,ACH-000028,ACH-000277,ACH-000117,ACH-000097,ACH-000212,ACH-000856,ACH-000849,ACH-000768,ACH-000783,ACH-000573,ACH-000643,ACH-000352,ACH-000276,ACH-000019,ACH-000223,ACH-000374,ACH-000288,ACH-000711,ACH-000927,ACH-000759,ACH-000721,ACH-000934,ACH-000330,ACH-000859,ACH-000699
ABL1,4.63168636631,3.43028527298,4.41818994795,4.017921908,3.93357263826,3.7257411565,3.7949356628,5.33913738492,4.23189316165,5.51947900231,5.32481060342,5.36211916673,3.224966365,4.65363331139,5.30997649237,4.1093605594,4.27202318906,4.37434398904,5.90496571868,4.54781995658,5.82451329733,4.43829285158,6.52778975157,5.15704371015,4.8196681835,5.017921908,5.31469652566
USP7,5.83111719462,4.8262942455,5.71149490665,6.36176835942,5.56742375771,6.2922295919,4.83440784181,6.07980475464,5.00539998774,5.11561593143,6.11103131239,5.71726514496,4.037382222,6.36632221425,6.173926932,5.56590176681,5.47735352663,5.69571548861,5.40633257782,5.37747084285,6.15340002774,5.61146750023,5.87036471958,6.73674015545,6.3041459412,5.96716860753,5.66192057914
CTSD,10.6035336238,7.00697118436,9.18072970032,10.4368156289,9.43891657586,9.68181818487,7.74052285835,7.46000530372,8.49561522385,10.0469875451,7.31152127983,9.17893867567,8.01050013286,7.95506864441,9.62831794302,10.745254142,9.60829178999,9.08393134528,7.6679630664,6.27909980213,7.23486532061,12.0988874423,6.88141990809,8.87639415878,9.84450178006,9.19369783295,8.24360244312
PTPRC,0.0143552929771,0.0565835283664,0.150559676575,0.0143552929771,0.17632277264,1.26903314646,0.0976107966264,2.17632277264,0.739848102699,0.17632277264,0.17632277264,0.286881147788,0.0840642647885,0.321928094887,0.150559676575,0.0426443374085,0.659924558402,0.226508529809,0.344828496997,0.13750352375,0.0565835283664,0.443606651476,0.0426443374085,0.111031312389,0.0143552929771,0.2750070475,0.124328135002
PLP2,7.5566593209,6.12370757651,6.95895864285,5.76022094647,7.32427057158,6.84799690655,7.78764141448,5.26978123827,7.60318122901,9.75688985507,7.17002518512,8.33655119006,6.42894634477,7.45038647903,6.9527994779,6.93380866199,6.80851376503,6.47476049958,8.07932477181,8.03727239025,7.38681094647,7.4476618417,6.35226417326,7.64479363691,6.79519549082,8.09407768567,7.06177619759
PCM1,5.12639473762,3.7387678368,4.69932952567,5.68873986801,4.89239102591,5.89627184881,5.22380865861,6.44526320814,5.42794133251,5.41481206057,4.80477637796,6.02458563828,4.89190518821,4.06867081067,5.11144869849,4.48800077083,5.01212167271,5.05441438792,6.81108564385,4.49633451342,5.59275601044,5.31686980506,4.82832692641,4.6287735952,4.08661394741,4.54781995658,5.56651075586
STK25,5.68229237143,5.15866017535,6.63589946595,5.57258654939,6.06738057802,6.88362081629,7.25096157353,7.05842473696,6.57182847305,6.72710360352,6.86616616904,7.27779882101,6.13072499112,6.97670731185,6.82107239061,6.7266950045,4.59753117422,6.57757988767,6.53589742904,6.31487775737,6.54008928198,6.3177743728,6.8895952222,7.224966365,7.00966068965,5.98185265329,7.01335059178
TLE1,4.58496250072,3.70043971814,5.51538446064,4.60999129521,4.39025495632,5.21256933885,4.12928301694,5.06307144984,5.18705508997,5.87725345388,3.95791459863,5.44460081371,4.37364821133,5.02103547951,3.65420637794,5.54349588343,5.43862553809,5.47411151394,4.22650852981,6.36282052553,4.27649666564,5.224966365,3.4620523188,5.41345868801,1.81147103053,5.16108148228,4.61235249875
HTATSF1,4.72027846523,4.68706068834,5.86987140618,5.54997714277,5.95628902658,5.3041459412,5.78345665436,6.04984854945,7.24212610166,6.04330075436,5.79441586635,6.04264433741,5.50366675458,6.31034012061,6.8657951214,6.08512718021,6.91814767388,6.57182847305,7.06641214573,5.95559179175,5.19337751056,5.54287709935,5.5505928897,5.58616424593,5.99163521648,6.44807499644,6.24963495731
FBXO7,4.81813476081,4.89724042557,4.94906796585,4.92362461137,5.16751850374,5.99661471482,5.5131748846,5.90303827011,6.47848651208,5.63430284166,5.61676936629,5.31795521831,5.31143045575,5.18547014607,6.08831123589,5.60139939053,5.77531397525,6.22207035525,5.88190928905,5.80400191518,5.00764403088,6.02014657311,5.26641176604,5.77267747042,5.05006629831,6.40956065498,6.94227990171
DNAJB1,5.78633498042,6.4667902378,6.66704055902,7.96584199131,6.73565755899,6.37833821199,6.28336621295,6.45499836344,7.22003968392,6.54797414832,6.74564071394,7.01223343589,7.20212382383,5.55673594791,6.76884595975,6.48381577726,8.04237074217,6.25096157353,5.9312102748,7.15724586737,6.9180283788,7.0926514451,5.23840473933,6.9102529628,6.26021388677,7.3710360523,7.34278583693
