,ACH-000147,ACH-000624,ACH-000028,ACH-000277,ACH-000117,ACH-000097,ACH-000212,ACH-000856,ACH-000849,ACH-000768,ACH-000783,ACH-000573,ACH-000643,ACH-000352,ACH-000276,ACH-000019,ACH-000223,ACH-000374,ACH-000288,ACH-000711,ACH-000927,ACH-000759,ACH-000721,ACH-000934,ACH-000330,ACH-000859,ACH-000699
SLC35B1,6.36614733152,4.9136075118199996,6.7590226394099995,7.69675892874,7.45368218587,6.45959555194,5.76712507727,6.07681559705,6.02591469875,6.118525848940001,6.28429202639,5.5677279633,5.54132897705,7.19012097261,7.0262467726499995,7.350497247080001,6.3811102941,6.45844762744,5.9920886090100005,6.49505552837,7.11873347577,6.318316841330001,6.0378214654299995,7.33637266079,5.86690797814,6.30669970727,5.94462422306
CAT,6.1919968466699995,7.0795914486500005,4.49185309633,5.29314973674,3.9504684141500004,4.08576455378,4.94345253856,5.87430516598,6.515542158080001,5.25285462595,4.54411440221,5.81121411751,4.64270157183,5.98139603197,4.97636363573,4.731183241569999,5.26303440583,3.93922657773,5.2016338611699995,5.54720302476,5.35438163211,6.3531468255,6.72314895705,5.48639259428,4.202417721580001,6.66462505487,5.44161626941
ZMYM2,4.64904056563,3.3161457422900003,5.46988597627,4.92647391126,4.48864353985,5.38439523839,4.1333991254199995,5.43929068104,4.81762325751,3.4475791965499996,5.449231200669999,4.266036894,3.92409988564,4.5993177937,6.498889086980001,5.04351949366,4.85947266685,5.51349074559,4.9136075118199996,2.35895882583,5.12060077385,5.03165985431,4.75328361646,4.86393845042,5.98344969074,4.78188423454,5.08703845677
PIK3CA,3.90592847817,3.18110255075,2.5945485495500002,3.08915913191,2.53853816363,2.86393845042,3.0321008431700003,3.11436702495,2.7591558338,3.13422093976,3.8135246893,2.8797057662800003,3.36317107712,3.4672794804600002,4.173926932,2.78868571061,3.68369645431,4.06781078379,3.44360665148,3.51349074559,2.9448584458099996,2.68929916054,3.9717734471900004,2.76765479824,4.138323004059999,4.177917792200001,3.4515408330199997
PDS5A,4.4362951198400005,3.8953026213300004,4.83642913116,5.36352154355,4.9891390073699995,5.46564802598,4.71918344048,6.05636676102,4.85897561429,5.03518399662,5.80477637796,5.60673831742,3.8982083525099998,4.97636363573,5.570462931030001,4.51979348624,4.61999982982,5.09971599916,4.9476661568,3.6644828403600003,5.09718938724,4.923624611369999,4.83390207667,5.32120656697,4.85449441815,5.849248702760001,5.739037979119999
CXCR4,1.35614381023,0.18903382439,4.70653055254,3.4672794804600002,1.8678964639900002,1.55581615506,0.263034405834,1.58014548442,0.44360665147600004,3.0548484769999997,2.11436702495,2.53853816363,0.150559676575,1.42223300068,2.61588707392,5.433627167080001,0.516015147004,3.5885647374,1.40053792958,0.111031312389,1.7355221772999998,5.35332329116,0.22650852980900002,5.5548957754199995,0.422233000683,0.454175893186,1.19534759832
MRPS2,5.81147103053,4.87823487911,6.39145842005,6.3467796432300005,6.048323386540001,5.49633451342,5.79363582035,6.0245856382800005,5.883376436669999,6.30761067216,6.78724960847,6.8308637567499995,4.49569516262,5.94392132655,5.29314973674,6.17971008387,5.67242534197,5.35402893805,6.34784279364,5.9882302230599995,6.10265813136,5.31578357459,6.45285896471,6.56300555306,6.08236196956,6.27872821294,5.750338520240001
CISD1,4.9891390073699995,4.54411440221,4.80889983926,4.1866590172,4.567423757709999,5.7647389230199995,6.368768349090001,5.11561593143,5.45680614923,5.631977320240001,4.816599706530001,6.23457795978,4.264536431000001,6.17232749166,5.905928478169999,4.266036894,4.30669970727,4.9378151688,5.87528859822,5.00674683244,4.45943161864,3.86096279786,4.68929916054,4.9630116476,5.155020578359999,5.3056057895899995,5.75568877685
ECD,4.07638806851,3.3687683490900002,4.20398416586,4.38266725275,3.63110428237,3.8649289722900004,5.163498732280001,4.44161626941,4.39848719002,3.8499992594699997,4.1399605695499995,5.194165868530001,3.71259578045,4.91552090075,4.76341157447,4.33342373373,3.7180875839599996,4.35966172233,4.8078700783,4.5020759560500005,3.7729413378300007,3.6599245583999997,4.16027483141,4.239550796610001,5.04526821514,4.32912359629,4.190614860209999
ACOT9,5.02147972741,4.056583528369999,4.14486214292,2.972692654,4.4087118610300005,0.83995958749,5.8641861446500005,5.57712666131,4.953265239009999,6.35455794681,3.9221978483999997,6.02502879449,4.221877081080001,4.5128589544499995,5.2794712956400005,4.264536431000001,4.33699741661,4.28466218548,6.10454633862,6.05354581773,5.48703608003,4.033863451869999,5.444600813709999,5.63633460244,3.516015147,6.26359784854,5.08533966936
ATF1,4.45877569908,3.76871365703,4.99140846676,3.8599695482199996,4.40190347161,3.9523335663699997,3.6287735951999998,4.87332106291,4.41481206057,4.6287735952,4.24184018356,4.28835856219,3.36317107712,4.5552026338800005,4.97085365434,4.6780719051099995,4.467931546030001,4.29204549249,4.55642941545,4.224966365,3.5849625007199997,3.4382928515800004,5.04351949366,4.51664555778,4.58976348698,4.37016428054,3.7824085649300003
CDK2,6.519636252840001,5.0094367556099995,6.142209191390001,5.92813340783,5.87036471958,5.07980475464,5.17072627613,6.389394724319999,5.16992500144,6.03518399662,6.015470807640001,5.10097764772,5.10265813136,6.45598470923,6.48155728071,5.8641861446500005,6.460251098940001,6.71342088487,6.11395048242,6.274634402519999,5.81506301719,5.1342209397600005,5.3677205134,6.083213368250001,6.04766925139,6.45450493756,5.61087719947
LPGAT1,3.43028527298,3.39917109382,2.74416109557,3.5981269599199996,3.6576400052099998,5.368069876530001,4.1473066987800005,6.30924896082,4.83187724119,3.9126498649,3.50080205306,3.7970129778400006,2.42760617278,3.68369645431,5.63575439128,3.4944156104000004,3.88849973551,4.61588707392,3.0338634518700003,4.12680770314,3.01435529298,4.846493315959999,3.8688842730300004,4.52481592836,3.7355221773,5.0232553523000005,3.9653225483699996
NCOA3,4.09423606985,4.36946648365,7.6051090738300005,5.31976242767,5.2207168919999996,4.38956681176,4.06608919046,4.81147103053,4.190614860209999,3.3519109611,4.55028504909,2.9690123075200003,3.82680268429,3.66789212523,4.27724089833,7.7332865432,4.69710657448,4.62702310555,3.62175885671,5.43696133783,6.81839044447,4.79856900356,3.82068956056,4.23189316165,4.68762063208,5.53449743374,4.51159454154
VAPB,5.462706750669999,4.2794712956400005,7.016251155010001,6.85299758761,6.9622019570399996,5.26378561389,5.01836711554,4.88508622529,4.958378711569999,4.88898672119,5.718909554380001,5.371558862610001,4.74254523387,6.87356715162,6.11311703639,6.196331634269999,5.6820113908000005,5.1093605594,5.06953032516,6.22322945684,7.6978711003499996,6.088523256619999,4.32120656697,5.63023071586,5.9136075118199996,6.635609302020001,5.57167680997
STAMBP,4.86393845042,4.82984955984,5.27984269352,4.98777561614,5.52982094653,5.221877081080001,5.41751500289,4.67525138605,5.450551443309999,5.4225694108599996,5.25889575508,6.06285565521,4.6530600171,5.50271248597,5.2828104395699995,5.221877081080001,5.20906339535,5.111031312390001,4.43095427139,4.8242586966,4.96809075205,4.45417589319,5.1333991254199995,5.79363582035,4.90544717874,5.648177795720001,5.06479664591
USP22,5.822220271619999,5.464668267,6.27835652801,6.022589749040001,6.61249994574,5.17911290068,6.27482073704,6.845615497230001,6.00270252038,6.37937836707,5.82323984413,5.62293035092,5.6040713236699995,5.36702153323,6.83149726796,6.157852169140001,5.92979099772,6.5169606599000005,6.98891186495,5.77425995143,6.34996674697,5.385085853550001,6.04679660957,6.622344722719999,6.07210580048,6.34447345946,6.0232553523000005
SPDEF,7.37929171612,0.34482849699699997,7.233619676760001,8.12572341643,7.79337571126,7.65184100982,0.22650852980900002,0.286881147788,6.2214904550400005,4.28392177231,8.31111252645,0.0703893278914,0.6322682155,7.02945288579,0.150559676575,6.44028782084,2.15704371015,0.23878685958700002,0.0840642647885,0.263034405834,7.85804317892,6.777156666000001,0.0976107966264,7.7825396177499995,6.9378151688,6.06479664591,0.38956681176299995
CDKN1A,4.33485426933,3.9708536543400004,6.207697668659999,4.775577360930001,5.3070641622600006,6.34323013955,3.61117238004,4.64904056563,5.0465783666199995,6.63865311647,4.79389588255,3.9569859246099996,4.01346225981,3.3826672527499997,4.94953493302,7.206916672539999,5.42458622625,6.18249367495,3.81557542886,3.70265754339,4.09929520434,6.75368475508,3.27052894238,7.383013015489999,1.68706068834,5.92931759491,4.05398016819
SOX4,3.13586316537,2.6276068381299997,4.08406426479,3.87774424995,4.58436125252,4.67185946825,3.2600256559599994,6.35931031689,4.76871365703,1.6959938131099999,6.24393560157,2.57046293103,4.85798099513,4.51979348624,6.41751500289,3.94204525992,2.77188557852,4.92552476975,4.3284056589599995,3.3757345385799997,4.9836776947,4.37851162325,1.91838623445,4.77873424412,5.05354581773,5.84523912564,4.1667154449699995
TM9SF2,6.3291235962900005,4.51222688651,5.62293035092,6.989706706989999,7.967456841010001,6.468583317009999,5.74980240168,6.58451158806,7.01457846492,5.8369340113199994,6.72260263685,7.1747259877100005,7.040234916749999,5.78816365704,6.4417822395,6.103287808409999,7.7703004895,7.16339809435,6.79272523331,6.6987741088999995,6.08873524619,6.83958173729,5.1866590172,6.92896244084,6.5145957147599995,6.802710219290001,5.95093492831
ATP5S,3.98913900737,3.15055967658,3.37016428054,3.41683974191,3.76765479824,3.8599695482199996,3.8145504234599996,4.13750352375,3.3868109464700002,3.6656201640699995,3.4828482830699996,2.9763636357300003,3.2141248053500004,4.33913738492,4.99140846676,3.88166461932,4.250961573530001,3.21567859661,3.6587827340099994,3.2898344651800002,3.5285713188699996,3.51979348624,3.6147098441199996,4.12184429788,2.96162332829,3.4141355329799996,4.26678654069
