Gene,AB521M,AB551,AB555,AB559,AB580,AB630,HCI001,HCI002,HCI004,HCI005,HCI006,HCI008,HCI009,HCI010,HCI011,HCI014,IC006,IC007,STG139,STG139M,STG143,STG195,STG201,STG282,STG316,STG335,VHIO006,VHIO039,VHIO089,VHIO093,VHIO094,VHIO098,VHIO102,VHIO124,VHIO131,VHIO161,VHIO169,VHIO179,VHIO244
CIAPIN1,8.3946897753792,8.28393290320614,7.771277195078451,8.134906212063541,7.83860377804663,7.71287858345281,7.749690353659839,8.06464952185185,7.41857014394835,7.485306085766259,7.35286085370691,7.58488112151196,7.25785587389669,7.659149290455231,7.761123210456389,8.1321301872668,7.85252844310514,7.240308056409769,7.897785896062469,7.69437875100451,7.138527963913949,7.68312755188753,7.342930804652519,8.43469622805781,8.52470013383842,7.99451358066769,7.72081008895873,7.66285287422046,7.72592342966329,8.30670403782705,8.14753565394829,8.38882750562901,7.77193712550883,7.5777591017441,7.55016169609007,7.96525461224771,8.166001693114541,8.1649668257309,8.55914434696303
MYCBP2,8.0244383033545,7.139523446320079,8.39357247578771,8.63585086847024,7.95746423824949,9.094758499984449,7.921167012784459,8.02034546722674,8.440429250319589,8.81763795935571,8.696255426759889,8.54044188385795,8.09609359888818,7.73758263984149,8.379230539339781,7.96359732747174,9.09592749887603,7.879755121715539,8.53454864582518,8.64365241373584,8.30751207006049,7.954707863502059,8.58581398276224,7.735084185065429,7.606332674399379,8.38074829273743,7.27659662719085,7.83435168809564,9.258951660068119,8.20693530001688,8.07102219938596,7.64661739517048,8.67705117564441,8.06925667561916,7.723155635574441,8.50234782207131,7.47018826463168,7.1501128873939095,7.24123574631405
RALA,10.5719493171227,9.47095617327766,9.27584051643205,10.2991100857343,10.7084335227772,10.102847573708699,9.89791983624846,10.9993115296912,9.812975731802519,10.037164866581,10.2668892478978,8.717135814597519,10.828013063780698,10.4326451281821,10.1347895380882,10.9183713720296,10.9126413954491,10.7347228983954,10.497519947017901,9.77962943567573,10.283663053281302,10.0085437346495,10.3182739854936,10.9387498865648,9.98215755224006,10.9604971992384,10.070107861324,9.93336129358707,9.92815359796601,10.9196487418298,10.062584458730802,10.290649815978401,10.328374899148901,10.2661321747341,10.4211116250936,10.4280018555557,10.7268184284321,10.3733110784589,10.169785497736198
ETV1,5.64536976890365,5.646288340820509,5.54010148699486,5.34522177136925,5.6031597461002,5.73456166881039,5.6265902068420806,5.5822329984037395,5.524323682935901,5.59066680480616,5.42253400652711,5.54276573264392,5.58531234658411,5.5947587775549295,5.43351227070197,5.67664414942466,5.40043896497122,5.527398154590809,5.63685609108086,5.75512706194504,5.507429744673259,5.593103676294861,5.5410502715285705,5.50265244893399,5.5823239325793494,5.65839275423947,5.43059226331544,5.6345904106671,5.714871596260441,5.7455207391460394,5.496084936467319,5.55623908165661,5.50911585208902,5.61647518482665,5.49054450532622,5.85750128694079,5.458169037432651,5.52154212592397,5.6188396989894995
TBXA2R,5.727986484524861,5.74037602510335,5.789275851148161,5.75355006741786,5.68840298672578,5.65978321151565,5.658938304169509,5.652403429518241,5.711634654231861,5.699402328631869,5.63176561965428,5.62784686007398,5.67251182636968,6.030432224405629,5.726540799676171,5.873499377223361,5.806584968797231,5.70072966423881,5.656228998217631,5.64260217300651,5.751250966799869,5.69593777528033,5.67226192975653,5.661932596360541,5.70790525747619,6.10028495735368,5.676591184704901,5.613653173698231,5.52400231149982,5.653514374841139,5.64851577518624,5.67638296524624,6.02510914314741,5.744290621717321,5.83733851857944,5.75755048917991,6.1078674958632,6.0440961886236,5.90900220961927
PAF1,8.61674713300471,9.17240122491948,10.0473240462042,9.16876922344119,9.30174776126186,9.76197624623488,9.37097908300975,9.417298144244329,10.264534441243,9.416503809472632,9.620879087741539,10.0140901666805,9.044792000181301,9.70214112756755,9.276647364791609,8.96182283941158,9.16876922344119,9.97894073702128,9.30054329140769,9.42663432832687,9.41171091982352,9.810276673553801,9.28371894012591,9.196914698381061,9.420054496307461,8.67953381126762,9.57384283703699,10.0008905399981,10.035510267968698,8.890499979755392,8.4833468555313,8.95001495293142,10.2218146015756,9.743931122170471,10.7663312241575,9.48853992937762,9.275808391993712,9.164492344010698,9.33674098615018
ELAC2,8.13559479131488,7.64832274710197,7.617471126991429,7.4455295300239595,7.423621298296389,7.17939664407878,6.955170859180599,8.17888473993272,7.51529280446619,7.24513170218178,6.97087010676149,8.951389743929369,8.03138755691317,7.533454922517341,7.77429588405355,7.564156208157389,7.319467504025231,7.069613813567869,7.31788018937507,7.479144514646929,7.886998449219741,7.75499859060002,7.810655489713089,7.95180678009536,7.65518720824685,8.025545029375,7.75070506115381,8.35866476243165,8.71317893698785,8.04095779076646,7.85995538997982,8.33166083173942,7.86183672188236,7.7427961994248795,7.63738758832649,7.80305018642234,7.33655382794082,7.91848534697242,7.83071204867419
PAFAH1B1,9.308086803566551,8.63330685865111,9.32796642060837,9.344156292802811,9.96466613028543,9.766983353050131,9.14322009932927,10.3089886968896,8.769304603869081,8.79724643938182,8.69165352403262,9.19566609679563,8.82784175193711,9.054949062825099,8.90640765644792,8.84832965883219,8.84361591747412,9.10073971490171,9.779003579606991,9.83107850075065,9.88004283727901,8.62079251842592,9.42289390773265,8.78533386486342,8.90463329442098,9.27013059103145,10.2737613087775,9.204840610730491,7.93763593477844,9.82261685803279,8.71927265820731,10.0377543893712,9.66481558480331,9.08445234578571,9.112771922873279,8.917388674259119,8.76809929933888,8.07440963988422,8.52314983551012
KIAA0100,7.32350133617764,7.45809793921739,7.96741554408559,7.242146417189269,8.63179324757671,7.1703215132345,6.67047435360408,6.933160769822989,6.965014029855679,7.25343641349226,7.81058256918762,7.296992548166701,7.2839724031367,6.70415578037221,7.13138731445617,7.2020431005698,7.7392918454562105,7.82469315797676,6.515371350968571,6.75996966274089,7.64538020863214,8.18239100375617,6.71361434959554,6.607468054575611,6.7665515765369495,7.18703370870597,7.205725701548281,8.12446667494247,6.57058151635978,7.256151618603639,6.991364066842969,7.0192803602746,6.92804953174098,7.264619929020469,7.7073546213452495,7.9233300744805,6.81648073775838,6.83315345437606,7.80926902641953
TRAPPC6A,9.51716235744223,8.98620743023138,10.0632334153425,8.22796869012708,8.32839205909743,7.29252447558954,8.83035415184474,9.164688868390758,8.43909556109573,9.567305205598132,9.84642330529475,9.89223502448459,9.002473202049,9.311237702853239,8.44417627188035,9.897990371127461,9.27757254331817,10.234460000039,8.923994122173461,8.253120080598821,9.3511384929785,9.39058643198649,9.50940229232453,9.130485527321289,8.916593633239279,8.81687821806726,8.95917120408803,9.57015476875088,9.97435988375927,8.40463458536004,8.8960520743727,8.0775582338744,9.27902261368704,7.989988198463969,9.06135964160357,9.70204973518335,8.57025013486464,7.87927849868273,8.03760120015994
